# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Apr 21 15:53:49 2020
#
# User preference: *
#
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
#
st_teff,st_lum
4742.00,2.243
4213.00,
4813.00,1.763
5338.00,
5750.00,
4979.00,1.602
4060.00,-0.370
4893.00,1.774
5098.00,1.164
5098.00,1.164
3530.00,-1.720
3064.00,-2.230
,
,
,
2300.00,-3.480
4045.00,
6331.00,
4415.00,
4200.00,
5892.00,
5892.00,
5892.00,
,0.850
5793.00,
5196.00,-0.235
5196.00,-0.235
5196.00,-0.235
5196.00,-0.235
5196.00,-0.235
4938.00,
5577.00,-0.095
5577.00,-0.095
5577.00,-0.095
4826.00,1.063
4826.00,1.063
5495.00,
4846.00,1.730
4847.00,
4785.00,1.778
4665.00,
,
4095.00,2.700
4864.00,
4649.00,1.570
4796.00,2.010
4259.00,
4259.00,
4296.00,1.960
5766.00,
4414.00,1.690
4534.00,1.640
4943.00,1.470
4324.00,-1.022
4324.00,-1.022
4816.00,
4816.00,
5393.00,
4475.00,
4545.00,
4714.00,-0.678
580.50,
,
,-0.108
,
5950.00,
5075.00,
6440.00,
5675.00,
5945.00,
6035.00,
5650.00,
5740.00,
5440.00,
6090.00,0.544
5625.00,
,
,
6200.00,
5939.00,
5900.00,
4950.00,
4950.00,
6040.00,
5590.00,
5900.00,
5150.00,
5260.00,
6740.00,
5650.00,
5700.00,
6190.00,
6100.00,
6090.00,
5275.00,
5275.00,
5080.00,
5625.00,
5970.00,-0.155
,
,
,
6196.00,
6196.00,
6196.00,
6196.00,
6500.00,0.104
5138.00,
13500.00,
5428.00,-0.140
,
,
,
,
,
,
5502.70,
,
,
,
,
,
4148.21,
6069.00,
,
,
,
,
4684.00,
4684.00,
,
5617.00,
5617.00,
6202.00,0.526
4898.00,
5430.00,
5430.00,
5430.00,
2838.00,-0.699
,
3348.00,-1.971
2953.00,-2.770
2953.00,-2.770
2953.00,-2.770
3270.00,-2.359
3270.00,-2.359
3264.00,-1.699
3264.00,-1.699
3026.00,
3458.00,-1.708
3236.00,-2.439
4640.00,-0.686
3607.00,-1.655
3607.00,-1.655
4347.00,-0.796
3500.00,-1.708
3500.00,-1.708
3500.00,-1.708
3370.00,-1.796
,
,
,
,
,
3542.00,-1.585
3382.00,-2.056
3382.00,-2.056
5540.00,-0.180
,
3717.00,-1.347
3717.00,-1.347
3717.00,-1.347
3510.00,
3510.00,
3900.00,
3466.00,-1.658
3466.00,-1.658
3466.00,-1.658
3466.00,-1.658
3159.00,-2.569
3159.00,-2.569
3526.00,-1.538
3600.00,
3081.00,-2.804
3505.00,-1.798
3505.00,-1.798
3505.00,-1.798
,-1.699
3324.00,-2.062
3867.00,-1.120
3722.00,-1.387
3722.00,-1.387
3563.00,-1.658
,
3387.00,-1.706
,
,
,
,
6234.00,0.332
3685.00,-1.377
,-1.886
,-1.886
,-1.886
3499.00,-1.894
3700.00,
3350.00,-1.863
3350.00,-1.863
3350.00,-1.863
3350.00,-1.863
3350.00,-1.863
3600.00,-1.796
3734.00,
3734.00,
3734.00,
3734.00,
3028.00,-2.699
3028.00,-2.699
3816.00,-1.253
3340.00,
3472.00,-1.585
3472.00,-1.585
3241.00,
5182.00,
,-1.907
,-1.907
,-1.907
,-1.907
3785.00,-1.052
4340.00,
4340.00,
4340.00,
,
4200.00,-0.420
,
3879.00,-1.222
3805.00,-1.306
3663.00,-1.553
5980.00,
4780.00,
4780.00,
4650.00,-0.678
5653.00,0.346
5653.00,0.346
6600.00,
5568.00,
6158.00,0.294
5246.00,
5246.00,
4803.00,-0.569
4990.00,-0.432
6380.00,0.530
4595.00,-0.721
5588.00,
5302.00,
5905.00,
6373.00,
5519.00,-0.152
5079.00,
5300.00,-0.244
5680.00,0.053
