# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr 26 16:08:01 2020
#
# User preference: *
#
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
#
pl_discmethod,pl_orbsmax,st_teff,st_lum
Radial Velocity,1.290000,4742.00,2.243
Radial Velocity,1.530000,4213.00,
Radial Velocity,0.830000,4813.00,1.763
Radial Velocity,2.930000,5338.00,
Radial Velocity,1.660000,5750.00,
Radial Velocity,2.600000,4979.00,1.602
Imaging,330.000000,4060.00,-0.370
Radial Velocity,0.190000,4893.00,1.774
Radial Velocity,1.333000,5098.00,1.164
Radial Velocity,2.080000,5098.00,1.164
Imaging,52.000000,3530.00,-1.720
Imaging,156.000000,3064.00,-2.230
Imaging,15.000000,,
Imaging,46.000000,,
Eclipse Timing Variations,0.920000,,
Imaging,,2300.00,-3.480
Imaging,230.000000,4045.00,
Radial Velocity,0.990000,6331.00,
Radial Velocity,0.870000,4415.00,
Radial Velocity,1.190000,4200.00,
Radial Velocity,2.100000,5892.00,
Radial Velocity,3.600000,5892.00,
Radial Velocity,11.600000,5892.00,
Imaging,12.000000,,0.850
Radial Velocity,0.052700,5793.00,
Radial Velocity,0.115227,5196.00,-0.235
Radial Velocity,0.241376,5196.00,-0.235
Radial Velocity,5.503000,5196.00,-0.235
Radial Velocity,0.015440,5196.00,-0.235
Radial Velocity,0.788000,5196.00,-0.235
Radial Velocity,2.110000,4938.00,
Radial Velocity,0.050201,5577.00,-0.095
Radial Velocity,0.217500,5577.00,-0.095
Radial Velocity,0.476000,5577.00,-0.095
Radial Velocity,1.758000,4826.00,1.063
Radial Velocity,2.153000,4826.00,1.063
Radial Velocity,0.481000,5495.00,
Radial Velocity,2.100000,4846.00,1.730
Radial Velocity,0.490000,4847.00,
Radial Velocity,2.500000,4785.00,1.778
Radial Velocity,0.700000,4665.00,
Imaging,260.000000,,
Radial Velocity,1.300000,4095.00,2.700
Radial Velocity,0.780000,4864.00,
Radial Velocity,0.576000,4649.00,1.570
Radial Velocity,0.539000,4796.00,2.010
Radial Velocity,1.050000,4259.00,
Radial Velocity,2.010000,4259.00,
Radial Velocity,1.300000,4296.00,1.960
Transit,,5766.00,
Radial Velocity,1.000000,4414.00,1.690
Radial Velocity,1.700000,4534.00,1.640
Radial Velocity,4.200000,4943.00,1.470
Radial Velocity,0.042800,4324.00,-1.022
Radial Velocity,0.435000,4324.00,-1.022
Radial Velocity,0.060000,4816.00,
Radial Velocity,0.680000,4816.00,
Radial Velocity,0.040000,5393.00,
Radial Velocity,2.280000,4475.00,
Radial Velocity,1.660000,4545.00,
Radial Velocity,1.340000,4714.00,-0.678
Imaging,2.600000,580.50,
Imaging,210.000000,,
Radial Velocity,,,-0.108
Imaging,440.000000,,
Transit,,5950.00,
Transit,0.105500,5075.00,
Transit,0.043600,6440.00,
Transit,0.040160,5675.00,
Transit,0.051000,5945.00,
Transit,0.027000,6035.00,
Transit,0.061800,5650.00,
Transit,0.046100,5740.00,
Transit,0.029500,5440.00,
Transit,0.051800,6090.00,0.544
Transit,0.027980,5625.00,
Transit,0.090000,,
Radial Velocity,2.900000,,
Transit,0.041700,6200.00,
Transit,0.092000,5939.00,
Transit,0.048000,5900.00,
Transit,0.056000,4950.00,
Transit,0.098000,4950.00,
Transit,0.057800,6040.00,
Transit,0.052600,5590.00,
Transit,0.047600,5900.00,
Transit,0.060300,5150.00,
Transit,0.038600,5260.00,
Transit,,6740.00,
Transit,0.084400,5650.00,
