# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr 26 16:31:53 2020
#
# COLUMN pl_name:        Planet Name
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
#
pl_name,st_teff,pl_eqt,st_lum
11 Com b,4742.00,,2.243
11 UMi b,4213.00,,
14 And b,4813.00,,1.763
14 Her b,5338.00,,
16 Cyg B b,5750.00,,
18 Del b,4979.00,,1.602
1RXS J160929.1-210524 b,4060.00,1700,-0.370
24 Boo b,4893.00,,1.774
24 Sex b,5098.00,,1.164
24 Sex c,5098.00,,1.164
2MASS J01225093-2439505 b,3530.00,,-1.720
2MASS J02192210-3925225 b,3064.00,,-2.230
2MASS J04414489+2301513 b,,,
2MASS J12073346-3932539 b,,1150,
2MASS J19383260+4603591 b,,,
2MASS J21402931+1625183 A b,2300.00,2075,-3.480
2MASS J22362452+4751425 b,4045.00,,
30 Ari B b,6331.00,,
4 UMa b,4415.00,,
42 Dra b,4200.00,,
47 UMa b,5892.00,,
47 UMa c,5892.00,,
47 UMa d,5892.00,,
51 Eri b,,,0.850
51 Peg b,5793.00,,
55 Cnc b,5196.00,,-0.235
55 Cnc c,5196.00,,-0.235
55 Cnc d,5196.00,,-0.235
55 Cnc e,5196.00,,-0.235
55 Cnc f,5196.00,,-0.235
6 Lyn b,4938.00,,
61 Vir b,5577.00,,-0.095
61 Vir c,5577.00,,-0.095
61 Vir d,5577.00,,-0.095
7 CMa b,4826.00,,1.063
7 CMa c,4826.00,,1.063
70 Vir b,5495.00,,
75 Cet b,4846.00,,1.730
8 UMi b,4847.00,,
81 Cet b,4785.00,,1.778
91 Aqr b,4665.00,,
AB Pic b,,,
BD+03 2562 b,4095.00,,2.700
BD+14 4559 b,4864.00,,
BD+15 2375 b,4649.00,,1.570
BD+15 2940 b,4796.00,,2.010
BD+20 2457 b,4259.00,,
BD+20 2457 c,4259.00,,
BD+20 274 b,4296.00,,1.960
BD+20 594 b,5766.00,,
BD+48 738 b,4414.00,,1.690
BD+48 740 b,4534.00,,1.640
BD+49 828 b,4943.00,,1.470
BD-06 1339 b,4324.00,,-1.022
BD-06 1339 c,4324.00,,-1.022
BD-08 2823 b,4816.00,,
BD-08 2823 c,4816.00,,
BD-10 3166 b,5393.00,,
BD-11 4672 b,4475.00,,
BD-13 2130 b,4545.00,,
BD-17 63 b,4714.00,,-0.678
CFBDSIR J145829+101343 b,580.50,370,
CHXR 73 b,,,
CI Tau b,,,-0.108
CT Cha b,,2600,
CoRoT-1 b,5950.00,1898,
CoRoT-10 b,5075.00,600,
CoRoT-11 b,6440.00,1657,
CoRoT-12 b,5675.00,1442,
CoRoT-13 b,5945.00,1700,
CoRoT-14 b,6035.00,1952,
CoRoT-16 b,5650.00,,
CoRoT-17 b,5740.00,1626,
CoRoT-18 b,5440.00,1550,
CoRoT-19 b,6090.00,2000,0.544
CoRoT-2 b,5625.00,,
CoRoT-20 b,,,
CoRoT-20 c,,,
CoRoT-21 b,6200.00,,
CoRoT-22 b,5939.00,885,
CoRoT-23 b,5900.00,1660,
CoRoT-24 b,4950.00,1070,
CoRoT-24 c,4950.00,850,
CoRoT-25 b,6040.00,1330,
CoRoT-26 b,5590.00,1600,
CoRoT-27 b,5900.00,1500,
CoRoT-28 b,5150.00,,
CoRoT-29 b,5260.00,,
CoRoT-3 b,6740.00,,
CoRoT-30 b,5650.00,,
CoRoT-31 b,5700.00,,
CoRoT-4 b,6190.00,1074,
CoRoT-5 b,6100.00,1438,
CoRoT-6 b,6090.00,1017,
CoRoT-7 b,5275.00,,
CoRoT-7 c,5275.00,,
CoRoT-8 b,5080.00,,
CoRoT-9 b,5625.00,420,
CoRoTID 223977153 b,5970.00,938,-0.155
DE CVn b,,,
DENIS-P J082303.1-491201 b,,,
DH Tau b,,,
DMPP-1 b,6196.00,877,
DMPP-1 c,6196.00,1239,
DMPP-1 d,6196.00,1632,
DMPP-1 e,6196.00,1314,
DMPP-2 b,6500.00,1000,0.104
DMPP-3 A b,5138.00,854,
DP Leo b,13500.00,,
DS Tuc A b,5428.00,850,-0.140
EPIC 201238110 b,,,
EPIC 201497682 b,,,
EPIC 201615463 c,,,
EPIC 201754305 d,,,
EPIC 201833600 c,,,
EPIC 201841433 b,,,
EPIC 205950854 c,5502.70,961,
EPIC 206024342 b,,,
EPIC 206032309 b,,,
EPIC 206042996 b,,,
EPIC 206215704 b,,,
EPIC 206317286 b,,,
EPIC 211822797 b,4148.21,,
EPIC 211945201 b,6069.00,817,
EPIC 212297394 b,,,
EPIC 212424622 b,,,
EPIC 212499991 b,,,
EPIC 212587672 b,,,
EPIC 212737443 b,4684.00,536,
EPIC 212737443 c,4684.00,316,
EPIC 220554210 c,,,
EPIC 220674823 b,5617.00,2119,
EPIC 220674823 c,5617.00,741,
EPIC 246851721 b,6202.00,1401,0.526
EPIC 248847494 b,4898.00,183,
EPIC 249893012 b,5430.00,1616,
EPIC 249893012 c,5430.00,990,
EPIC 249893012 d,5430.00,752,
FU Tau b,2838.00,2375,-0.699
Fomalhaut b,,,
G 9-40 b,3348.00,456,-1.971
GJ 1061 b,2953.00,,-2.770
GJ 1061 c,2953.00,,-2.770
GJ 1061 d,2953.00,,-2.770
GJ 1132 b,3270.00,529,-2.359
GJ 1132 c,3270.00,300,-2.359
GJ 1148 b,3264.00,,-1.699
GJ 1148 c,3264.00,,-1.699
GJ 1214 b,3026.00,,
GJ 1252 b,3458.00,1089,-1.708
GJ 1265 b,3236.00,,-2.439
GJ 143 b,4640.00,422,-0.686
GJ 15 A b,3607.00,,-1.655
GJ 15 A c,3607.00,,-1.655
GJ 160.2 b,4347.00,,-0.796
GJ 163 b,3500.00,,-1.708
GJ 163 c,3500.00,,-1.708
GJ 163 d,3500.00,,-1.708
GJ 179 b,3370.00,,-1.796
GJ 180 b,,,
GJ 180 c,,,
GJ 180 d,,,
GJ 229 A c,,,
GJ 229 b,,,
GJ 27.1 b,3542.00,,-1.585
GJ 273 b,3382.00,,-2.056
GJ 273 c,3382.00,,-2.056
GJ 3021 b,5540.00,350,-0.180
