# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr 26 16:51:28 2020
#
# User preference: *
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_name:        Planet Name
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_rade:        Planet Radius [Earth radii]
#
pl_hostname,pl_name,pl_dens,pl_eqt,pl_masse,pl_rade
11 Com,11 Com b,,,,
11 UMi,11 UMi b,,,,
14 And,14 And b,,,,
14 Her,14 Her b,,,,
16 Cyg B,16 Cyg B b,,,,
18 Del,18 Del b,,,,
1RXS J160929.1-210524,1RXS J160929.1-210524 b,,1700,3000.00000,
24 Boo,24 Boo b,,,,
24 Sex,24 Sex b,,,,
24 Sex,24 Sex c,,,,
2MASS J01225093-2439505,2MASS J01225093-2439505 b,,,7786.50000,
2MASS J02192210-3925225,2MASS J02192210-3925225 b,,,4417.83700,16.141
2MASS J04414489+2301513,2MASS J04414489+2301513 b,,,2383.60000,
2MASS J12073346-3932539,2MASS J12073346-3932539 b,,1150,1271.00000,
2MASS J19383260+4603591,2MASS J19383260+4603591 b,,,603.87700,
2MASS J21402931+1625183 A,2MASS J21402931+1625183 A b,,2075,6657.48000,10.310
2MASS J22362452+4751425,2MASS J22362452+4751425 b,,,3972.87500,
30 Ari B,30 Ari B b,,,,
4 UMa,4 UMa b,,,,
42 Dra,42 Dra b,,,,
47 UMa,47 UMa b,,,,
47 UMa,47 UMa c,,,,
47 UMa,47 UMa d,,,,
51 Eri,51 Eri b,,,,
51 Peg,51 Peg b,,,,
55 Cnc,55 Cnc b,,,263.97850,
55 Cnc,55 Cnc c,,,54.47380,
55 Cnc,55 Cnc d,,,1232.49300,
55 Cnc,55 Cnc e,6.40000,,8.08000,1.910
55 Cnc,55 Cnc f,,,44.81200,
6 Lyn,6 Lyn b,,,,
61 Vir,61 Vir b,,,,
61 Vir,61 Vir c,,,,
61 Vir,61 Vir d,,,,
7 CMa,7 CMa b,,,,
7 CMa,7 CMa c,,,,
70 Vir,70 Vir b,,,,
75 Cet,75 Cet b,,,,
8 UMi,8 UMi b,,,,
81 Cet,81 Cet b,,,,
91 Aqr,91 Aqr b,,,,
AB Pic,AB Pic b,,,4290.50000,
BD+03 2562,BD+03 2562 b,,,,
BD+14 4559,BD+14 4559 b,,,,
BD+15 2375,BD+15 2375 b,,,,
BD+15 2940,BD+15 2940 b,,,,
BD+20 2457,BD+20 2457 b,,,,
BD+20 2457,BD+20 2457 c,,,,
BD+20 274,BD+20 274 b,,,,
BD+20 594,BD+20 594 b,,,22.24810,2.578
BD+48 738,BD+48 738 b,,,,
BD+48 740,BD+48 740 b,,,,
BD+49 828,BD+49 828 b,,,,
BD-06 1339,BD-06 1339 b,,,,
BD-06 1339,BD-06 1339 c,,,,
BD-08 2823,BD-08 2823 b,,,,
BD-08 2823,BD-08 2823 c,,,,
BD-10 3166,BD-10 3166 b,,,,
BD-11 4672,BD-11 4672 b,,,,
BD-13 2130,BD-13 2130 b,,,,
BD-17 63,BD-17 63 b,,,,
CFBDSIR J145829+101343,CFBDSIR J145829+101343 b,,370,3337.10000,
CHXR 73,CHXR 73 b,,,3994.48600,
CI Tau,CI Tau b,,,3686.82800,
CT Cha,CT Cha b,,2600,5403.00000,24.660
CoRoT-1,CoRoT-1 b,0.38000,1898,327.35000,16.700
CoRoT-10,CoRoT-10 b,3.70000,600,874.00000,10.870
CoRoT-11,CoRoT-11 b,0.99000,1657,740.51000,16.030
CoRoT-12,CoRoT-12 b,0.41100,1442,291.43800,16.140
CoRoT-13,CoRoT-13 b,2.34000,1700,415.70400,9.920
CoRoT-14,CoRoT-14 b,7.30000,1952,2415.40000,12.220
CoRoT-16,CoRoT-16 b,0.44000,,170.03200,13.110
CoRoT-17,CoRoT-17 b,2.82000,1626,772.29000,11.430
CoRoT-18,CoRoT-18 b,2.20000,1550,1102.82000,14.680
CoRoT-19,CoRoT-19 b,0.71000,2000,352.78000,14.460
CoRoT-2,CoRoT-2 b,1.47000,,1102.82000,16.432
CoRoT-20,CoRoT-20 b,,,1366.66900,
CoRoT-20,CoRoT-20 c,,,,
CoRoT-21,CoRoT-21 b,1.36000,,718.29580,14.572
CoRoT-22,CoRoT-22 b,0.24900,885,12.20000,4.880
CoRoT-23,CoRoT-23 b,3.00000,1660,889.90000,11.770
CoRoT-24,CoRoT-24 b,0.90000,1070,5.70000,3.700
CoRoT-24,CoRoT-24 c,1.30000,850,28.00000,5.000
CoRoT-25,CoRoT-25 b,0.15000,1330,85.81000,12.110
CoRoT-26,CoRoT-26 b,0.28000,1600,165.26000,14.120
CoRoT-27,CoRoT-27 b,12.60000,1500,3302.11000,11.287
CoRoT-28,CoRoT-28 b,0.69000,,153.82972,10.705
CoRoT-29,CoRoT-29 b,1.45000,,270.15550,10.088
CoRoT-3,CoRoT-3 b,26.40000,,6883.91000,11.320
CoRoT-30,CoRoT-30 b,3.45000,,921.70700,11.310
CoRoT-31,CoRoT-31 b,0.33000,,266.97720,16.365
CoRoT-4,CoRoT-4 b,0.52500,1074,228.83000,13.340
CoRoT-5,CoRoT-5 b,0.21700,1438,148.42000,15.558
CoRoT-6,CoRoT-6 b,2.32000,1017,940.74000,13.068
CoRoT-7,CoRoT-7 b,,,3.17830,1.681
CoRoT-7,CoRoT-7 c,,,8.40000,
CoRoT-8,CoRoT-8 b,1.60000,,69.92000,6.390
CoRoT-9,CoRoT-9 b,0.86000,420,266.97720,11.949
CoRoTID 223977153,CoRoTID 223977153 b,1.10000,938,47.67450,6.389
DE CVn,DE CVn b,,,,
DENIS-P J082303.1-491201,DENIS-P J082303.1-491201 b,,,9057.77000,
DH Tau,DH Tau b,,,3496.00000,
DMPP-1,DMPP-1 b,,877,,
DMPP-1,DMPP-1 c,,1239,,
DMPP-1,DMPP-1 d,,1632,,
DMPP-1,DMPP-1 e,,1314,,
DMPP-2,DMPP-2 b,,1000,,
DMPP-3 A,DMPP-3 A b,,854,,
DP Leo,DP Leo b,,,,
DS Tuc A,DS Tuc A b,,850,,5.700
EPIC 201238110,EPIC 201238110 b,,,,1.870
EPIC 201497682,EPIC 201497682 b,,,,0.692
K2-166,EPIC 201615463 c,,,,1.220
K2-16,EPIC 201754305 d,,,,1.030
K2-50,EPIC 201833600 c,,,,1.000
EPIC 201841433,EPIC 201841433 b,,,,1.100
K2-168,EPIC 205950854 c,,961,,1.310
EPIC 206024342,EPIC 206024342 b,,,,1.700
EPIC 206032309,EPIC 206032309 b,,,,1.010
EPIC 206042996,EPIC 206042996 b,,,,1.620
EPIC 206215704,EPIC 206215704 b,,,,0.900
EPIC 206317286,EPIC 206317286 b,,,,0.960
EPIC 211822797,EPIC 211822797 b,,,,1.980
EPIC 211945201,EPIC 211945201 b,,817,,5.760
EPIC 212297394,EPIC 212297394 b,,,,1.323
EPIC 212424622,EPIC 212424622 b,,,,2.170
EPIC 212499991,EPIC 212499991 b,,,,1.600
EPIC 212587672,EPIC 212587672 b,,,,1.120
EPIC 212737443,EPIC 212737443 b,,536,,2.586
EPIC 212737443,EPIC 212737443 c,,316,,2.690
K2-282,EPIC 220554210 c,,,,1.480
EPIC 220674823,EPIC 220674823 b,,2119,,1.820
EPIC 220674823,EPIC 220674823 c,,741,,2.730
