# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr 26 17:25:21 2020
#
# User preference: *
#
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth radii]
#
pl_discmethod,pl_orbper,pl_rade
Radial Velocity,326.03000000,
Radial Velocity,516.21997000,
Radial Velocity,185.84000000,
Radial Velocity,1773.40002000,
Radial Velocity,798.50000000,
Radial Velocity,993.30000000,
Imaging,,
Radial Velocity,30.35060000,
Radial Velocity,452.80000000,
Radial Velocity,883.00000000,
Imaging,,
Imaging,,
Imaging,,
Eclipse Timing Variations,416.00000000,
Imaging,7336.50000000,10.310
Imaging,,
Radial Velocity,335.10001000,
Radial Velocity,269.30000000,
Radial Velocity,479.10000000,
Radial Velocity,1078.00000000,
Radial Velocity,2391.00000000,
Radial Velocity,14002.00000000,
Imaging,11688.00000000,
Radial Velocity,4.23078500,
Radial Velocity,14.65152000,
Radial Velocity,44.41750000,
Radial Velocity,4825.00000000,
Radial Velocity,0.73653900,1.910
Radial Velocity,262.00000000,
Radial Velocity,934.30000000,
Radial Velocity,4.21500000,
Radial Velocity,38.02100000,
Radial Velocity,123.01000000,
Radial Velocity,735.10000000,
Radial Velocity,996.00000000,
Radial Velocity,116.68800000,
Radial Velocity,691.90000000,
Radial Velocity,93.40000000,
Radial Velocity,952.70000000,
Radial Velocity,181.40000000,
Imaging,,
Radial Velocity,481.90000000,
Radial Velocity,268.94000000,
Radial Velocity,153.22000000,
Radial Velocity,137.48000000,
Radial Velocity,379.63000000,
Radial Velocity,621.99000000,
Radial Velocity,578.20000000,
Transit,41.68550000,2.578
Radial Velocity,392.60000000,
Radial Velocity,733.00000000,
Radial Velocity,2590.00000000,
Radial Velocity,3.87280000,
Radial Velocity,125.94000000,
Radial Velocity,5.60000000,
Radial Velocity,237.60000000,
Radial Velocity,3.48777000,
Radial Velocity,1667.00000000,
Radial Velocity,714.29999000,
Radial Velocity,655.60000000,
Imaging,10037.50000000,
Imaging,,
Radial Velocity,8.98910000,
Imaging,,24.660
Transit,1.50895570,16.700
Transit,13.24060000,10.870
Transit,2.99433000,16.030
Transit,2.82804200,16.140
Transit,4.03519000,9.920
Transit,1.51214000,12.220
Transit,5.35227000,13.110
Transit,3.76810000,11.430
Transit,1.90006930,14.680
Transit,3.89713000,14.460
Transit,1.74299350,16.432
Transit,9.24285000,
Radial Velocity,1675.00000000,
Transit,2.72474000,14.572
Transit,9.75598000,4.880
Transit,3.63130000,11.770
Transit,5.11340000,3.700
Transit,11.75900000,5.000
Transit,4.86069000,12.110
Transit,4.20474000,14.120
Transit,3.57532000,11.287
Transit,5.20851000,10.705
Transit,2.85057000,10.088
Transit,4.25680000,11.320
Transit,9.06005000,11.310
Transit,4.62941000,16.365
Transit,9.20205000,13.340
Transit,4.03789620,15.558
Transit,8.88659300,13.068
Transit,0.85359163,1.681
Radial Velocity,3.69800000,
Transit,6.21229000,6.390
Transit,95.27265600,11.949
Transit,6.71837000,6.389
Eclipse Timing Variations,4098.10000000,
Astrometry,246.36000000,
Imaging,,
Radial Velocity,18.57000000,
Radial Velocity,6.58400000,
Radial Velocity,2.88200000,
Radial Velocity,5.51600000,
Radial Velocity,5.20720000,
Radial Velocity,6.67320000,
Eclipse Timing Variations,10220.00000000,
Transit,8.13826800,5.700
Transit,28.16560000,1.870
Transit,2.13174000,0.692
Transit,3.80464000,1.220
Transit,2.71578000,1.030
Transit,3.96151000,1.000
Transit,4.16959000,1.100
Transit,8.05072200,1.310
Transit,4.50756000,1.700
Transit,2.87814000,1.010
Transit,5.29711000,1.620
Transit,2.25372000,0.900
Transit,1.58252000,0.960
Transit,21.16986100,1.980
Transit,19.49221000,5.760
Transit,2.28943000,1.323
Transit,18.09830000,2.170
Transit,34.88500000,1.600
Transit,15.28410000,1.120
Transit,13.60300000,2.586
Transit,65.55000000,2.690
Transit,0.70531000,1.480
Transit,0.57133100,1.820
Transit,13.33907900,2.730
Transit,6.18023500,11.781
Transit,3650.00000000,12.442
Transit,3.59510000,1.950
Transit,15.62400000,3.670
Transit,35.74700000,3.940
Imaging,,
Imaging,555530.00000000,
Transit,5.74600700,2.025
Radial Velocity,3.20400000,
Radial Velocity,6.68900000,
Radial Velocity,13.03100000,
Transit,1.62893100,
Radial Velocity,8.92900000,
Radial Velocity,41.38000000,
Radial Velocity,532.58000000,
Transit,1.58040456,2.847
Transit,0.51823490,1.193
Radial Velocity,3.65110000,
Transit,35.61253000,2.610
